,Customer ID,Cust Since,City,Zip
111,ARNS,2005-09-30,OVERLAND PARK,66214
112,ARRA,2015-04-02,OVERLAND PARK,66213
113,ARRIP,2004-08-27,KANSAS CITY,64133
114,ARROT,2005-03-04,OVERLAND PARK,66209
115,ARTD,1999-08-13,LEAWOOD,66209
116,ARTH,2014-08-25,OVERLAND PARK,66214
117,ASHJ,2003-06-03,FAIRWAY,66205
118,ASHT,2008-08-08,KANSAS CITY,64131
119,ASSA,2009-04-17,LENEXA,66215
120,ASSI,2017-05-22,KANSAS CITY,66106
121,ATKEJ,2003-11-25,OVERLAND PARK,66221
122,AUDL,2019-07-02,OLATHE,66062
123,AUOR,2018-12-17,SPRING HILL,66083
124,AUST,2014-11-11,LEAWOOD,66224
125,AVAZ,2003-08-11,OVERLAND PARK,66213
126,AVENT,2007-07-05,OLATHE,66062
127,AVERL,2002-10-03,OVERLAND PARK,66224
128,AWL-6950,2011-01-14,Tulsa,74104-4909
129,AYER,2006-10-23,OVERLAND PARK,66223
130,AYERA,2017-07-10,OVERLAND PARK,66223
131,AZZIB,2003-04-16,OVERLAND PARK,66221
132,BABB,2005-04-18,LEAWOOD,66224
133,BACH,2022-01-14,KANSAS CITY,64111
134,BACK,2011-09-29,OLATHE,66061
135,BADE,2013-09-20,OLATHE,66061
136,BADK,1998-01-05,OVERLAND PARK,66221
137,BAEH,2011-07-15,OVERLAND PARK,66209
138,BAHR,2005-10-11,OVERLAND PARK,66221
139,BAIL,2012-05-17,LEE'S SUMMIT,64064
140,BAILW,2013-08-13,LANSING,66043
141,BAIN,2006-11-13,LAKE QUIVERA,66217
142,BAIR,2005-11-10,KANSAS CITY,64155
143,BAJRH,2003-03-03,LENEXA,66219
144,BAKD,2010-11-15,LENEXA,66220
145,BAKED,2017-04-10,OVERLAND PARK,66223
146,BAKEJ,2021-04-19,Shawnee,66226
147,BAKER,2003-06-23,LEAWOOD,66206
148,BAKW,2018-08-01,KANSAS CITY,64116
149,BALB,2003-04-29,LEE'S SUMMIT,64064
150,BALDJ,2004-11-19,OLATHE,66062
151,BALDS,2016-11-08,OVERLAND PARK,66221
152,BALED,2003-03-31,SHAWNEE MISSION,66202
153,BALK,2007-11-08,KANSAS CITY,64112
154,BALLB,2007-04-27,LOCH LLOYD,64012
155,BALLM,2005-06-11,LEAWOOD,66209
156,BALT,2018-08-01,KANSAS CITY,64105
157,BALT-9TH,2021-01-20,KANSAS CITY,64105
158,BANG,2009-05-28,LEAWOOD,66211
159,BANGS,2011-07-01,LENEXA,66227
160,BANJ,2001-09-27,LENEXA,66215
161,BANK,2006-03-10,OVERLAND PARK,66221
162,BANKW,2007-01-17,,
163,BANN,2005-07-12,OVERLAND PARK,66213
164,BARAN,2010-06-02,OVERLAND PARK,66215
165,BARAR,2003-05-02,OVERLAND PARK,66214
166,BARB,2011-05-11,OVERLAND PARK,66214
167,BARBD,2004-04-21,LENEXA,66220
168,BARBE,2005-04-18,KANSAS CITY,64145
169,BARBL,2003-04-16,BELTON,64012
170,BARBO,2014-06-17,OLATHE,66062
171,BARBV,2005-04-18,LENEXA,66220
172,BARC,2005-11-04,KANSAS CITY,64154
173,BARD,2006-07-26,LAKE QUIVERA,66217
174,BARDO,2008-05-08,SHAWNEE,66216
175,BARG,2017-07-05,FAIRWAY,66205
176,BARIK,2021-03-02,SHAWNEE,66216
177,BARK,2005-11-04,KANSAS CITY,66109
178,BARKH,2014-09-15,GARDNER,66030
179,BARNC,2003-11-18,RAYMORE,64083
180,BARND,2009-08-10,LENEXA,66219
181,BARNH,2017-11-14,OVERLAND PARK,66221
182,BARR,1999-04-22,LEAWOOD,66224
183,BARRD,2012-08-03,OVERLAND PARK,66210
184,BARRY,2007-10-29,LEAWOOD,66206
185,BARS,1998-08-20,LEAWOOD,66223
186,BARTM,2017-07-20,KANSAS CITY,64113
187,BARTT,2006-11-09,OVERLAND PARK,66210
188,BASC,2013-08-02,LENEXA,66210
189,BASI,2011-05-31,SHAWNEE,66226
190,BASS,2019-04-01,OLATHE,66061
191,BAST,2008-06-06,OVERLAND PARK,66212
192,BASTK,2011-09-23,LEAWOOD,66206
193,BATEJ,2008-11-13,PRAIRIE VILLAGE,66208
194,BATES,2007-10-10,KANSAS CITY,64133
195,BATH,2014-05-08,MISSION,66202
196,BATT,2016-11-09,OVERLAND PARK,66212
197,BATY,2021-07-20,OVERLAND PARK,66221
198,BATZ,2017-03-30,KANSAS CITY,64112
199,BAUE,2013-11-15,OVERLAND PARK,66223
200,BEAC,1998-01-05,PRAIRIE VILLAGE,66207
201,BEALC,2004-04-20,SHAWNEE,66226
202,BEAT,2006-01-23,OVERLAND PARK,66223
203,BEAV,2012-03-28,PRAIRIE VILLAGE,66207
204,BEAVB,2005-06-11,OVERLAND PARK,66221
205,BEBE,2013-06-19,SHAWNEE,66216
206,BECHK,2005-04-12,OVERLAND PARK,66207
207,BECK,2005-08-09,LEAWOOD,66211
208,BECKG,2006-05-15,OVERLAND PARK,66223
209,BECKL,2013-09-20,KANSAS CITY,64114
210,BECKM,2003-03-20,OVERLAND PARK,66213
211,BECKT,2020-04-29,Shawnee,66217
212,BECKV,2007-06-05,OVERLAND PARK,66213
213,BEER,2005-05-25,SHAWNEE,66216
214,BEGG,2018-08-16,SHAWNEE,66226
215,BEGGC,2004-07-27,STILWELL,66085
216,BEHRE,2009-04-08,LENEXA,66215
217,BEHRK,2004-06-01,LEAWOOD,66211
218,BEIL,2016-03-16,OVERLAND PARK,66210
219,BELA,2015-10-27,OVERLAND PARK,66213
220,BELJ,1998-09-07,OVERLAND PARK,66207
221,BELL,2019-01-02,SHAWNEE,66226
222,BELP,2001-09-16,OVERLAND PARK,66223
223,BEMT,2003-04-30,OVERLAND PARK,66223
224,BENDW,2003-03-21,LEE'S SUMMIT,64064
225,BENEB,2019-08-06,OVERLAND PARK,66213
226,BENET,2003-11-17,OLATHE,66062
227,BENJ,2010-04-30,SHAWNEE,66216
228,BENJG,2014-05-19,LENEXA,66215
229,BENN,2008-04-11,KEARNEY,64060
230,BENSA,2010-01-19,KANSAS CITY,64111
231,BENSB,2009-08-03,OLATHE,66061
232,BENSC,2006-11-20,KANSAS CITY,64125
233,BENT,2005-11-17,SHAWNEE,66218
234,BERGG,2006-06-01,LENEXA,66220
235,BERGJ,2007-06-04,SHAWNEE,66226
236,BERGK,2004-05-13,OVERLAND PARK,66224
237,BERGT,2006-04-18,LENEXA,66220
238,BERJ,2004-10-25,DESOTO,66018
239,BERK,2016-11-09,OVERLAND PARK,66213
240,BERL,1998-01-10,OVERLAND PARK,66210
241,BERLD,2009-06-18,PRAIRIE VILLAGE,66208
242,BERM,1998-01-10,OVERLAND PARK,66213
243,BERME,2010-04-02,PLEASANT HILL,64080
244,BERMJ,2012-10-19,LEE'S SUMMIT,64064
245,BERN,2002-09-25,LEAWOOD,66206
246,BERNS,2013-08-13,OVERLAND PARK,66212
247,BERR,2005-10-25,OVERLAND PARK,66223
248,BERRJ,2012-06-11,KANSAS CITY,64113
249,BERRM,2014-08-22,OVERLAND PARK,66223
250,BERRY,2017-03-23,SHAWNEE,66217
251,BESL,2013-05-13,OVERLAND PARK,66221
252,BESSD,2004-11-04,OLATHE,66062
253,BEST,2007-12-05,OVERLAND PARK,66085
254,BETR,2000-04-21,OVERLAND PARK,66223
255,BETZ,2006-06-12,LEAWOOD,66209
256,BETZT,2015-07-28,OVERLAND PARK,66210
257,BEUS,2005-10-20,LENEXA,66215
258,BEVES,2003-09-12,PRAIRIE VILLAGE,66207
259,BFHOMES,2005-10-14,LEAWOOD,66209
260,BFS,2017-01-10,NEWARK,07102-9998
261,BHAT,2009-10-20,OVERLAND PARK,66221
262,BHPLUM,2004-08-04,OVERLAND PARK,66214
263,BIANM,1998-10-07,OVERLAND PARK,66221
264,BICK,2003-05-13,,
265,BICKM,2018-06-07,OVERLAND PARK,66213
266,BIDD,2007-06-11,MISSION,66202
267,BIER,2006-10-20,OVERLAND PARK,66221
268,BIERL,2013-09-10,SHAWNEE,66218
269,BIESK,2003-03-31,SHAWNEE,66218
270,BIGGS,2010-08-24,KANSAS CITY,64137
271,BILL,2006-09-15,LEAWOOD,66211
272,BILYM,2003-03-24,OVERLAND PARK,66209
273,BING,2003-05-14,OLATHE,66061
274,BINS,2017-11-27,OVERLAND PARK,66213
275,BIRKE,2005-05-04,PRAIRIE VILLAGE,66208
276,BIRN,2015-05-07,PRAIRIE VILLAGE,66207
277,BISCE,2005-08-22,LEAWOOD,66209
278,BISHA,2003-11-10,LEAWOOD,66209
279,BISHB,2020-09-17,Overland Park,66213
280,BISHD,2016-11-09,OLATHE,66061
281,BLACD,2006-11-01,SHAWNEE,66217
282,BLACK,2006-06-21,LEAWOOD,66206
283,BLACKM,2007-04-03,PRAIRIE VILLAGE,66206
284,BLACKS,2006-07-12,LEAWOOD,66208
285,BLANC,2003-03-24,PRAIRIE VILLAGE,66207
286,BLAR,2011-10-03,KANSAS CITY,64113
287,BLAS,2006-07-17,SHAWNEE,66203
288,BLASC,2006-08-18,LENEXA,66220
289,BLAST,2019-01-24,KANSAS CITY,64108
290,BLAZ,2016-11-09,MISSION HILLS,66208
291,BLDG 1B,2008-07-21,OVERLAND PARK,66210
292,BLEAD,2001-08-15,MISSION HILLS,66208
293,BLED,2008-05-08,LEAWOOD,66206
294,BLESS,2006-11-13,LENEXA,66220
295,BLIS,2009-10-08,LENEXA,66219
296,BLIVB,2020-04-29,Kansas City,64113
297,BLOC,2003-01-13,LEAWOOD,66224
298,BLOCK,2011-09-22,MISSION HILLS,66208
299,BLOE,2016-11-08,OVERLAND PARK,66213
300,BLOMD,2008-09-26,PRAIRIE VILLAGE,66208-1350
301,BLOMK,2004-08-18,LEAWOOD,66209
302,BLOO,2010-10-28,OVERLAND PARK,66213
303,BLOOM,2005-06-06,LEAWOOD,66209
304,BLOU,2001-12-11,KANSAS CITY,64113
305,BLUE,2005-10-17,OVERLAND PARK,66223
306,BLUEH,2012-03-22,SHAWNEE,66227
307,BLUER,2006-05-18,OLATHE,66061
308,BOARD,2009-11-03,KANSAS CITY,64113
309,BOAT,2016-12-14,LEAWOOD,66206
310,BOB,2007-05-25,OVERLAND PARK,66204
311,BOCK,2006-03-17,OLATHE,66062
312,BOCKK,2013-11-04,SHAWNEE,66226
313,BOCKW,2007-03-23,SHAWNEE,66217
314,BODDD,2003-04-18,KANSAS CITY,64113
315,BODE,2007-10-12,KANSAS CITY,64113
316,BOEH,2012-07-30,OVERLAND PARK,66207
317,BOGNH,2020-08-31,Overland Park,66210
318,BOHA,2012-05-23,HARRISONVILLE,64701
319,BOIC,2011-03-14,LEE'S SUMMIT,64082
320,BOKE,2011-10-12,OLATHE,66062
321,BOKER,2012-06-14,LEAWOOD,66209
322,BOLB,2016-02-24,LENEXA,66219
323,BOLLR,2004-03-25,PRAIRIE VILLAGE,66208
324,BOLT,2003-04-29,OVERLAND PARK,66214
325,BOLTE,2005-11-17,OLATHE,66062
326,BOND,2014-11-10,OLATHE,66061
327,BONDR,2015-07-06,OLATHE,66062
328,BONF,2019-01-24,KANSAS CITY,64108
329,BONR,2007-05-09,SHAWNEE,66216
330,BOOH,2006-07-06,OVERLAND PARK,66213
331,BOOK,2008-12-01,LENEXA,66220
332,BOOKM,2012-05-31,SHAWNEE,66226
333,BOOL,2019-10-01,OVERLAND PARK,66213
334,BOOM,2006-12-22,,
335,BOON,2008-10-17,SHAWNEE,66226
336,BOONK,2015-05-14,SHAWNEE,66227
337,BOOS,2005-11-03,OLATHE,66062
338,BOOT,2005-04-29,LENEXA,66220
339,BOOTM,2020-05-20,OVERLAND PARK,66212
340,BORAD,2005-01-17,LENEXA,66219
341,BORD,2002-06-11,LEAWOOD,66209
342,BORG,2019-05-14,PRAIRIE VILLAGE,66208
343,BORI,2011-10-13,OVERLAND PARK,66213
344,BORN,2005-05-05,OLATHE,66062
345,BORSN,2005-04-04,OLATHE,66062
346,BORST,2018-10-05,SHAWNEE,66226
347,BOST,2008-07-18,OVERLAND PARK,66213
348,BOTR,2007-06-22,OVERLAND PARK,66210
349,BOTTB,2004-11-15,OVERLAND PARK,66221
350,BOUC,2012-07-05,FAIRWAY,66205
351,BOUL,2006-06-15,KANSAS CITY,64105
352,BOULD,2017-03-13,OVERLAND PARK,66209
353,BOULM,2010-04-02,KANSAS CITY,64108
354,BOUR,2011-05-04,LEAWOOD,66209
355,BOURR,2003-04-30,OVERLAND PARK,66062
356,BOUT,2013-11-04,MISSION,66205
357,BOVC,2016-11-09,PRAIRIE VILLAGE,66208
358,BOVE,2006-01-09,LEAWOOD,66209
359,BOWE,2011-04-04,OLATHE,66061
360,BOWJ,2004-09-27,OVERLAND PARK,66213
361,BOWM,2014-08-29,SHAWNEE,66226
362,BOWT,2007-08-02,OVERLAND PARK,66221
363,BOYC,2012-10-26,LENEXA,66220
364,BOYD,2006-11-01,OLATHE,66062-5046
365,BOYDT,2017-12-20,SHAWNEE,66217
366,BOYE,2009-06-30,SHAWNEE,66226
367,BOYJ,2011-09-06,LEES SUMMIT,64064
368,BOYS,2012-04-18,PRAIRIE VILLAGE,66208
369,BPU,2010-01-07,KANSAS CITY,66104
370,BRAD,2007-06-15,SHAWNEE,66217
371,BRADC,2012-05-17,KANSAS CITY,64112
372,BRADJ,2009-04-20,OVERLAND PARK,66223
373,BRAK,2009-10-20,OLATHE,66061
374,BRAM,2015-11-10,OVERLAND PARK,66213
375,BRAME,2019-08-27,DESOTO,66018
376,BRAN,2003-03-07,BELTON,64012
377,BRAND,2006-06-02,KANSAS CITY,66106
378,BRANK,2012-04-11,KANSAS CITY,64114
379,BRANP,2006-07-24,LEAWOOD,66209
380,BRATB,2003-05-02,OVERLAND PARK,66221
381,BRAUS,2003-03-31,OVERLAND PARK,66221
382,BRAYK,2020-11-19,Olathe,66061
383,BRAZ,2008-04-03,SHAWNEE,66226
384,BREIB,2006-09-26,LENEXA,66215
385,BREIC,2002-08-28,BONNER SPRINGS,66012
386,BREIDD,2003-04-29,KANSAS CITY,64113
387,BREND,2015-09-24,LEAWOOD,66209
388,BRENJ,2006-08-03,PRAIRIE VILLAGE,66207
389,BRENN,2005-05-13,SHAWNEE,66226
390,BRES,2018-01-24,KANSAS CITY,64112
391,BREW,2014-01-31,LEAWOOD,66209
392,BREWT,2014-05-06,SHAWNEE,66216
393,BRIA,2014-08-06,FAIRWAY,66205
394,BRID,2007-10-11,OLATHE,66062
395,BRIDP,2009-07-07,OLATHE,66062
396,BRIS,2009-10-15,LENEXA,66215
397,BRISD,2020-06-24,Overland Park,66223
398,BRITE,2009-10-16,CORDOVA,38088
399,BRITR,2003-11-21,OVERLAND PARK,66209
400,BRITT,2014-10-30,OLATHE,66061
401,BROA,2017-04-28,OLATHE,66062
402,BROAD,2009-10-02,KANSAS CITY,64105
403,BROADC,2009-10-30,KANSAS CITY,64111
404,BROCK,2006-02-17,SPRING HILL,66083
405,BROCKM,2007-09-19,LEAWOOD,66209
406,BRODB,2002-11-18,PRAIRIE VILLAGE,66208
407,BROK,2018-03-12,OVERLAND PARK,66212
408,BROL,1999-04-30,OVERLAND PARK,66221
409,BROM,2002-05-29,PRAIRIE VILLAGE,66207
410,BROME,2015-04-20,OVERLAND PARK,66204
411,BRON,2008-10-02,MERRIAM,66203
412,BROOHOA,2021-10-12,OVERLAND PARK,66221
413,BROOK,2003-04-29,OLATHE,66061
414,BROOKB,2009-05-26,OVERLAND PARK,66085
415,BROOKT,2010-11-17,OVERLAND PARK,66224
416,BROR,2016-02-18,SHAWNEE,66216
417,BROS,2010-05-11,INDEPENDENCE,64052
418,BROU,2011-05-10,BONNER SPRINGS,66012
419,BROWC,2007-04-04,SHAWNEE,66226
420,BROWCC,2013-05-01,OVERLAND PARK,66207
421,BROWD,2004-11-15,RAYMORE,64083
422,BROWK,2013-08-22,OVERLAND PARK,66212
423,BROWM,2004-07-08,SHAWNEE,66216
424,BROWNB,2008-01-28,OVERLAND PARK,66213
425,BROWND,2005-05-05,OLATHE,66062
426,BROWNM,2020-03-12,LEAWOOD,66211
427,BROWNN,2016-11-09,OVERLAND PARK,66209
428,BROWNNA,2021-06-15,FAIRWAY,
429,BROWNR,2011-11-22,OVERLAND PARK,66221
430,BROWP,2015-09-29,FAIRWAY,66205
431,BROWR,2007-05-24,KANSAS CITY,66109
432,BROWT,2004-08-04,OVERLAND PARK,66213
433,BROX,2007-10-25,SHAWNEE,66226
434,BRUC,2017-09-18,OVERLAND PARK,66213
435,BRUE,2017-07-21,SHAWNEE,66216
436,BRUIT,2003-04-04,OLATHE,66062
437,BRUL,2010-05-10,LENEXA,66220
438,BRUM,2001-12-11,LENEXA,66215
439,BRUN,2007-04-30,SHAWNEE,66216
440,BRUND,2014-05-08,KANSAS CITY,64113
441,BRUNG,2016-11-09,SHAWNEE,66203
442,BRUNK,2011-02-15,LEE'S SUMMIT,64086
443,BRUS,2007-10-31,OVERLAND PARK,66207
444,BRYA,2006-01-17,OVERLAND PARK,66212
445,BTT,2020-05-21,KANSAS CITY,64114
446,BUCHB,2003-10-01,LEAWOOD,66209
447,BUCHN,2002-06-26,LEAWOOD,66209
448,BUCHP,2005-02-25,LENEXA,66215
449,BUCHT,2005-04-08,OVERLAND PARK,66221
450,BUCK,2016-11-09,OLATHE,66061
451,BUCKK,2016-11-11,OLATHE,66061
452,BUFFO,2003-04-18,OVERLAND PARK,66221
453,BUFOK,2004-07-26,KANSAS CITY,64130
454,BUIED,2003-05-05,FAIRWAY,66205
455,BULL,2010-09-20,OVERLAND PARK,66202
456,BULU,2017-06-30,OVERLAND PARK,66213
457,BUNCN,2020-10-19,Leawood,66206
458,BUND,2014-03-14,LENEXA,66227
459,BUNDM,2021-09-14,Leawood,66206
460,BUNK,2004-07-02,SHAWNEE,66217
461,BUNKD,2020-10-01,Mission,66202
462,BUNKT,2007-02-21,OVERLAND PARK,66213
463,BUNN,2015-11-18,STILWELL,66085
464,BUNND,2005-06-30,SHAWNEE,66217
465,BURA,2009-03-16,KANSAS CITY,66112
466,BURB,2003-01-13,OVERLAND PARK,66212
467,BURG,2003-01-13,OVERLAND PARK,66223
468,BURGE,2011-06-02,OLATHE,66061
469,BURK,2008-05-13,OVERLAND PARK,66210
470,BURKA,2018-10-26,SHAWNEE,66227
471,BURKK,2008-08-19,OVERLAND PARK,66212
472,BURKM,2003-11-21,KANSAS CITY,64113
473,BURKT,2005-04-07,SHAWNEE,66218
474,BURL,2008-12-01,SHAWNEE,66226
475,BURN,2003-02-19,OLATHE,66062
476,BURNB,2014-04-16,MERRIAM,66204
477,BURNS,2015-07-20,KANSAS CITY,64113
478,BURRB,2003-04-08,OLATHE,66062
479,BURRBO,2008-09-30,OVERLAND PARK,66213
480,BURTD,2007-06-07,OVERLAND PARK,66213
481,BURTJ,2021-10-07,STILWELL,66085
482,BUSB,1998-01-10,OVERLAND PARK,66209
483,BUSC,2018-12-28,SHAWNEE,66227
484,BUSHG,2005-07-11,QUENEMO,66528
485,BUSIT,2005-06-08,SHAWNEE,66216
486,BUSK,2009-03-02,KANSAS CITY,66106
487,BUTA,2018-03-12,SHAWNEE,66216
488,BUTK,2015-10-14,LEAWOOD,66206
489,BUTL,2012-06-05,LEAWOOD,66224
490,BUTT,2010-03-26,LENEXA,66220
491,BVSD,2007-01-08,OVERLAND PARK,66283
492,C&G,2018-12-07,KANSAS CITY,64108
493,C&O,2006-12-12,OVERLAND PARK,66212
494,CADYA,2020-12-10,Overland Park,66221
495,CAHD,2019-07-22,OLATHE,66062
496,CAHI,2008-12-04,LEAWOOD,66224
497,CAHO,2008-09-12,OVERLAND PARK,66213
498,CAIN,2012-09-05,LENEXA,66215
499,CALD,2009-05-12,OVERLAND PARK,66085
500,CALDD,2015-05-15,OVERLAND PARK,66213
501,CALH,2005-10-17,KANSAS CITY,64145
502,CALIFIN-6950,2022-01-13,MISSION,66202
503,CALJ,1998-01-10,OVERLAND PARK,66204
504,CALL,2007-06-25,KANSAS CITY,64152
505,CALLO,2015-08-31,LENEXA,66227
506,CAM,2018-10-17,PRAIRIE VILLAGE,66207
507,CAMB,2006-06-23,OLATHE,66061
508,CAMD,2019-08-22,KANSAS CITY,64113
509,CAMJ,2013-08-27,OVERLAND PARK,66210
510,CAMP,2006-08-17,OVERLAND PARK,66213
511,CAMPD,2004-08-04,OVERLAND PARK,66213
512,CAMPH,2009-06-25,OVERLAND PARK,66221
513,CAMPJ,2004-03-09,OVERLAND PARK,66221
514,CAMPL,2010-04-20,OLATHE,66061
515,CAMPM,2003-03-26,OVERLAND PARK,66221
516,CAMPUS,2008-07-21,KANSAS CITY,64108
517,CANN,2003-07-25,OLATHE,66061
518,CANND,2012-03-13,KANSAS CITY,64114
519,CAO,2004-08-03,SHAWNEE,66216
520,CAPIT,2005-04-21,OVERLAND PARK,66283
521,CAPLC,2003-12-09,LEAWOOD,66224
522,CAPPO,2005-10-07,OVERLAND PARK,66221
523,CAPR,2006-10-06,KANSAS CITY,64114
524,CARA,2014-05-13,OVERLAND PARK,66210
525,CARC,2007-09-27,DESOTO,66018
526,CARD,2006-09-01,OLATHE,66062
527,CAREG,2003-06-25,BLUE SPRINGS,64015
528,CARJ,1999-03-30,PLATTE CITY,64079
529,CARJO,2019-08-14,KANSAS CITY,64145
530,CARKD,2003-10-20,OVERLAND PARK,66221
531,CARL,1998-11-15,OVERLAND PARK,66223
532,CARLD,2006-08-14,LEAWOOD,66209
533,CARLJ,2007-10-30,LEAWOOD,66209
534,CARM,2007-07-24,LEAWOOD,66206
535,CARMO,2018-08-13,OVERLAND PARK,66213
536,CARNB,2020-05-27,LENEXA,66227
537,CARND,2003-04-04,OVERLAND PARK,66221
538,CARNJ,2020-04-30,Overland Park,66212
539,CARNM,2006-04-07,OVERLAND PARK,66221
540,CARNP,2006-06-01,LENEXA,66215
541,CAROD,2003-03-25,LEAWOOD,66224
542,CARP,2006-05-02,LEE'S SUMMIT,64081
543,CARPJ,2003-03-26,OVERLAND PARK,66221
544,CARR,2000-06-01,OVERLAND PARK,66210
545,CARRA,2013-04-19,PRAIRIE VILLAGE,66208
